DeerNo,Date,hh,StartCryTime(Sec),EndCtyTime(Sec),CryDuration(Sec),AnalysisStartTime,AnalysisEndTime,DNN_StartTime,DNN_EndTime,time_delay_POI3_POI1,time_delay_POI3_POI2,time_delay_POI1_POI2
69.0,20221011.0,22.0,3060.1984580498865,3064.2068027210885,4.01124716553288,134932702.0,135197670.0,134924066.0,135210716.0,-0.3656929901175303,-0.7879848332972141,-0.923268790576385
70.0,20221011.0,22.0,3067.2892517006803,3068.871111111111,1.5847619047619048,135245406.0,135403366.0,135183266.0,135469916.0,0.01061231208149982,0.4090502086285799,0.5540397886480459
71.0,20221011.0,22.0,3121.771972789116,3126.865850340136,5.0967800453514736,137648094.0,137960934.0,137663394.0,137950044.0,1.157781478651958,0.894560682612318,1.4829979377147184
72.0,20221011.0,22.0,3156.4045351473924,3160.9440362811793,4.542403628117913,139175390.0,139463782.0,139178466.0,139465116.0,0.8577127246879677,0.6487324082114494,1.2470111267353703
73.0,20221011.0,22.0,3212.2224036281177,3216.143673469388,3.924172335600907,141636958.0,141898086.0,141626402.0,141913052.0,-1.3553793401386338,-0.11993243207510584,0.26551122086735024
74.0,20221011.0,22.0,3222.6133333333332,3225.3997278911565,2.789297052154195,142095198.0,142306278.0,142059618.0,142346268.0,-0.39870937189490263,1.308963117365252,0.0
75.0,20221011.0,22.0,3259.8755555555554,3261.4748299319726,1.6021768707482993,143738462.0,143897190.0,143676706.0,143963356.0,0.5691419076382473,-0.09299378314771323,-0.7808665975310052
76.0,20221011.0,22.0,3305.9990929705214,3311.754739229025,5.758548752834467,145772510.0,146114534.0,145802402.0,146089052.0,-1.1404568491743827,2.3131360147816773,-1.7215469835232664
77.0,20221011.0,22.0,3313.966439909297,3317.6468027210885,3.683265306122449,146123870.0,146374374.0,146108002.0,146394652.0,-0.12687125476330774,-1.9246335333852507,-0.10464894383068124
78.0,20221011.0,22.0,3325.1410430839,3332.336326530612,7.198185941043084,146616670.0,147022182.0,-999.0,-999.0,1.6289836089400715,4.706859679764314,2.060209162146082
