Hourly_Folder,clip_name,resnet50,efficientnet-b2,mobilenet_v2,3models
221011_10pm,DeerSoundNo41_POI3_20221011_22_S1928.32_E1934.82_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo42_POI1_20221011_22_S2006.78_E2013.28_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo42_POI2_20221011_22_S2006.78_E2013.28_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo42_POI3_20221011_22_S2006.78_E2013.28_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo43_POI1_20221011_22_S2031.32_E2037.82_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo43_POI2_20221011_22_S2031.32_E2037.82_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo43_POI3_20221011_22_S2031.32_E2037.82_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo44_POI1_20221011_22_S2123.45_E2129.95_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo44_POI2_20221011_22_S2123.45_E2129.95_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo44_POI3_20221011_22_S2123.45_E2129.95_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo45_POI1_20221011_22_S2289.82_E2296.32_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo45_POI2_20221011_22_S2289.82_E2296.32_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo45_POI3_20221011_22_S2289.82_E2296.32_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo47_POI1_20221011_22_S2432.13_E2438.63_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo47_POI2_20221011_22_S2432.13_E2438.63_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo47_POI3_20221011_22_S2432.13_E2438.63_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo49_POI1_20221011_22_S2444.59_E2451.09_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo49_POI2_20221011_22_S2444.59_E2451.09_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo49_POI3_20221011_22_S2444.59_E2451.09_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo50_POI1_20221011_22_S2499.95_E2506.45_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo50_POI2_20221011_22_S2499.95_E2506.45_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo50_POI3_20221011_22_S2499.95_E2506.45_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo51_POI1_20221011_22_S2538.91_E2545.41_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo51_POI2_20221011_22_S2538.91_E2545.41_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo51_POI3_20221011_22_S2538.91_E2545.41_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo53_POI1_20221011_22_S2571.73_E2578.23_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo53_POI2_20221011_22_S2571.73_E2578.23_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo53_POI3_20221011_22_S2571.73_E2578.23_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo54_POI1_20221011_22_S2630.33_E2636.83_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo54_POI2_20221011_22_S2630.33_E2636.83_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo54_POI3_20221011_22_S2630.33_E2636.83_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo55_POI1_20221011_22_S2661.01_E2667.51_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo55_POI2_20221011_22_S2661.01_E2667.51_D6.5.wav,1,1,1,1
221011_10pm,DeerSoundNo55_POI3_20221011_22_S2661.01_E2667.51_D6.5.wav,0,0,0,0
221011_10pm,DeerSoundNo57_POI1_20221011_22_S2777.01_E2783.51_D6.5.wav,0,0,0,0
